name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r
manga-10217-12705,119.505587809,14.7026287414,3.206,0.382,0.8,6.37537E10,10.804505394485656,0.857792,2.49992,20.655245,8.68876171112061,-0.407460868358612,0.749513450535613,0.76298793812683,0.415461454303026,14.2768
manga-10217-1901,119.06828621,15.2400782037,3.537,0.07,0.05,1.46314E10,10.16528588341752,0.857935,4.05502,10.695853,9.57315063476562,-0.15893729031086,-1.09079692485594,-1.51281619916877,0.22906078662294,15.03704
manga-10217-1902,118.699364685,14.6654215753,2.725,0.136,0.04,1.62399E10,10.210583350669818,0.200347,5.98941,5.471516,9.39154243469238,-0.149717673659325,-1.32377485063815,-2.08259677593332,0.215943178414477,15.78825
manga-10217-3701,118.693207358,14.3594231641,3.482,0.086,0.03,1.92848E10,10.285215139217264,0.656421,6.0,7.4309955,8.88859939575195,-0.500146567821503,0.163451842882845,0.509233557700885,0.381703114625445,15.94394
manga-10217-3702,118.521918682,14.6200482639,3.23,0.11,0.16,1.58962E10,10.201293318265698,0.171642,6.0,7.792477,9.22078323364258,-0.10304943472147,0.162645610557851,-0.350685895961677,0.35246242592798,15.90597
manga-10217-3703,119.293209673,14.65876405,3.027,0.101,0.13,3.92532E10,10.593875067086195,0.947289,1.64325,7.247181,8.76778888702393,-0.29112920165062,1.02674989849375,0.930944890130397,0.392730655892402,14.67331
manga-10217-3704,118.395673439,14.4733243477,3.056,0.055,-0.02,3.50343E10,10.544493444530483,0.522388,3.99623,7.6296973,9.14857196807861,-0.161723539233208,-0.529239218327624,0.0471117090837326,0.373997231214071,15.58965
manga-10217-6101,117.735046075,14.7678282599,3.818,0.094,0.0,1.2559E11,11.098955060438469,0.877496,6.0,13.139816,9.67170906066895,-0.374919444322586,-0.559194882565121,-0.185111325974308,0.243501346913715,15.9186
manga-10217-6102,118.202222407,15.308880164,3.441,0.245,0.39,1.67831E10,10.22487218227026,0.31271,2.22733,8.764126,8.95306873321533,-0.738395631313324,-0.229026320240306,-1.58354512125468,0.371399998361529,16.23708
manga-10217-6103,117.993013365,15.7114103805,3.274,0.077,0.1,1.11225E10,10.046202414420081,0.562504,2.9493,9.27499,8.88097476959229,-0.119892284274101,0.438218020397705,0.369566151578839,0.228044777382081,15.89886
manga-10217-6104,119.503945958,14.9502274395,3.695,0.161,0.17,1.20762E11,11.081930296979175,0.844871,6.0,11.9490185,9.3305721282959,0.0528638325631618,0.248653197394897,-1.4401240975892,0.17041027586596,16.10106
manga-10217-9101,118.831445476,14.4171184641,3.19,0.183,0.11,1.27044E9,9.103954159127257,0.515054,3.35907,35.068085,8.62250804901123,-0.169393375515938,-0.504255965313249,-1.32315631646097,0.388307093465439,17.11171
manga-10217-9102,118.843822108,15.0938929519,3.008,0.493,0.29,1.07574E9,9.031707317603763,0.972528,2.03837,15.874659,8.57849502563477,-0.616299271583557,-0.0865675835348114,0.041452667224547,0.253173566178853,15.36273
manga-10218-12701,117.857788969,16.6018406215,3.087,0.156,0.12,2.6419E10,10.421916374871955,0.745231,3.05363,11.394722,8.5176362991333,-0.58308207988739,0.0571833038258657,0.26071038672895,0.339358146435624,15.49218
